Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology IDs
Q85G12	RK11_CYAM1	rpl11	rpl11				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0070180
Q85G60	RK32_CYAM1	rpl32	rpl32				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; large ribosomal subunit [GO:0015934]	GO:0003735; GO:0006412; GO:0009507; GO:0015934
Q85FZ4	PSBT_CYAM1	psbT	psbT				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]	GO:0009535; GO:0009539; GO:0015979; GO:0016021
Q85G11	RK1_CYAM1	rpl1	rpl1				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; large ribosomal subunit [GO:0015934]	GO:0003735; GO:0006412; GO:0009507; GO:0015934; GO:0019843
Q85FW2	RK4_CYAM1	rpl4	rpl4				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q85FR6	RPOC_CYAM1	rpoC	rpoC				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; metal ion binding [GO:0046872]	chloroplast [GO:0009507]	GO:0003677; GO:0003899; GO:0006351; GO:0009507; GO:0046872
Q85FT9	RR12_CYAM1	rps12	rps12				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; small ribosomal subunit [GO:0015935]	GO:0003735; GO:0006412; GO:0009507; GO:0015935; GO:0019843
O22018	TRPA_CYAM1	trpA	trpA				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; tryptophan synthase activity [GO:0004834]		tryptophan synthase activity [GO:0004834]	chloroplast [GO:0009507]	GO:0004834; GO:0009507
Q85FP9	PETL_CYAM1	petL	petL				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]	GO:0009535; GO:0015979; GO:0016021
O22020	RR4_CYAM1	rps4	rps4				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; small ribosomal subunit [GO:0015935]	GO:0003735; GO:0006412; GO:0009507; GO:0015935; GO:0019843
Q85G27	PSBD_CYAM1	psbD	psbD				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; mRNA binding [GO:0003729]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]	photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]	chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; mRNA binding [GO:0003729]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]	GO:0003729; GO:0005506; GO:0009523; GO:0009535; GO:0009772; GO:0016021; GO:0016168; GO:0018298; GO:0045156
Q85FV6	RK16_CYAM1	rpl16	rpl16				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
O22024	RBS_CYAM1	rbcS	rbcS				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; reductive pentose-phosphate cycle [GO:0019253]	reductive pentose-phosphate cycle [GO:0019253]		chloroplast [GO:0009507]	GO:0009507; GO:0019253
Q85FV8	RK22_CYAM1	rpl22	rpl22				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; large ribosomal subunit [GO:0015934]	GO:0003735; GO:0006412; GO:0009507; GO:0015934; GO:0019843
Q85FR9	RK33_CYAM1	rpl33	rpl33				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507
Q85FQ2	PSBE_CYAM1	psbE	psbE				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; photosynthetic electron transport chain [GO:0009767]	photosynthetic electron transport chain [GO:0009767]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]	GO:0005506; GO:0009055; GO:0009535; GO:0009539; GO:0009767; GO:0016021; GO:0020037
Q85FU0	RK31_CYAM1	rpl31	rpl31				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q85FP4	PSBI_CYAM1	psbI	psbI				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]	GO:0009535; GO:0009539; GO:0015979; GO:0016021
Q85FT8	RR7_CYAM1	rps7	rps7				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; small ribosomal subunit [GO:0015935]	GO:0003735; GO:0006412; GO:0009507; GO:0015935; GO:0019843
Q85FW3	RK3_CYAM1	rpl3	rpl3				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q85FV3	RK14_CYAM1	rpl14	rpl14				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; large ribosomal subunit [GO:0015934]	GO:0003735; GO:0006412; GO:0009507; GO:0015934; GO:0019843
Q85FV7	RR3_CYAM1	rps3	rps3				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast envelope [GO:0009941]; chloroplast nucleoid [GO:0042644]; ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast envelope [GO:0009941]; chloroplast nucleoid [GO:0042644]; ribosome [GO:0005840]	GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0009941; GO:0019843; GO:0042644
P59758	RR13_CYAM1	rps13	rps13				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q85FV2	RK24_CYAM1	rpl24	rpl24				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q85FR8	RR20_CYAM1	rps20	rps20				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q85FV0	RR8_CYAM1	rps8	rps8				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q85FX7	PETN_CYAM1	petN	petN				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; cytochrome b6f complex [GO:0009512]; integral component of membrane [GO:0016021]; electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity [GO:0045158]; cytochrome complex assembly [GO:0017004]; photosynthesis [GO:0015979]	cytochrome complex assembly [GO:0017004]; photosynthesis [GO:0015979]	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity [GO:0045158]	chloroplast thylakoid membrane [GO:0009535]; cytochrome b6f complex [GO:0009512]; integral component of membrane [GO:0016021]	GO:0009512; GO:0009535; GO:0015979; GO:0016021; GO:0017004; GO:0045158
Q85FZ2	PSBH_CYAM1	psbH	psbH				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; phosphate ion binding [GO:0042301]; photosynthesis [GO:0015979]; protein stabilization [GO:0050821]	photosynthesis [GO:0015979]; protein stabilization [GO:0050821]	phosphate ion binding [GO:0042301]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]	GO:0009523; GO:0009535; GO:0015979; GO:0016021; GO:0042301; GO:0050821
Q85FS8	PSAJ_CYAM1	psaJ	psaJ				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem I [GO:0009522]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem I [GO:0009522]	GO:0009522; GO:0009535; GO:0015979; GO:0016021
Q85FU4	RR11_CYAM1	rps11	rps11				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q85FZ3	PSBN_CYAM1	psbN	psbN				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]	GO:0009535; GO:0015979; GO:0016021
Q85G72	RK21_CYAM1	rpl21	rpl21				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q85FX8	PETM_CYAM1	petM	petM				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; cytochrome b6f complex [GO:0009512]; integral component of membrane [GO:0016021]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]; cytochrome b6f complex [GO:0009512]; integral component of membrane [GO:0016021]	GO:0009512; GO:0009535; GO:0015979; GO:0016021
Q85G21	PSB28_CYAM1	psb28 psbW	psb28	psbW			Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; photosystem II oxygen evolving complex [GO:0009654]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]; photosystem II oxygen evolving complex [GO:0009654]	GO:0009535; GO:0009654; GO:0015979
Q85FT1	YCF3_CYAM1	ycf3	ycf3				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]	GO:0009535; GO:0015979
Q85FQ5	PSBJ_CYAM1	psbJ	psbJ				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]	GO:0009535; GO:0009539; GO:0015979; GO:0016021
Q85G10	RK12_CYAM1	rpl12	rpl12				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507
Q85FW0	RK2_CYAM1	rpl2	rpl2				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; transferase activity [GO:0016740]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; transferase activity [GO:0016740]	chloroplast [GO:0009507]; large ribosomal subunit [GO:0015934]	GO:0003735; GO:0006412; GO:0009507; GO:0015934; GO:0016740; GO:0019843
Q85FY3	PETG_CYAM1	petG	petG				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; cytochrome b6f complex [GO:0009512]; integral component of membrane [GO:0016021]; electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity [GO:0045158]; cytochrome complex assembly [GO:0017004]; photosynthesis [GO:0015979]	cytochrome complex assembly [GO:0017004]; photosynthesis [GO:0015979]	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity [GO:0045158]	chloroplast thylakoid membrane [GO:0009535]; cytochrome b6f complex [GO:0009512]; integral component of membrane [GO:0016021]	GO:0009512; GO:0009535; GO:0015979; GO:0016021; GO:0017004; GO:0045158
Q85G15	PETD_CYAM1	petD	petD				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity [GO:0045158]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; photosynthetic electron transport chain [GO:0009767]	photosynthetic electron transport chain [GO:0009767]	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity [GO:0045158]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]	GO:0009535; GO:0009767; GO:0016021; GO:0045156; GO:0045158
Q85FQ1	YCF4_CYAM1	ycf4	ycf4				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem I [GO:0009522]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem I [GO:0009522]	GO:0009522; GO:0009535; GO:0015979; GO:0016021
Q85G82	RK28_CYAM1	rpl28	rpl28				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507
Q85G81	RBL_CYAM1	rbcL	rbcL				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]; reductive pentose-phosphate cycle [GO:0019253]	reductive pentose-phosphate cycle [GO:0019253]	magnesium ion binding [GO:0000287]; monooxygenase activity [GO:0004497]; ribulose-bisphosphate carboxylase activity [GO:0016984]	chloroplast [GO:0009507]	GO:0000287; GO:0004497; GO:0009507; GO:0016984; GO:0019253
Q85FU8	RK18_CYAM1	rpl18	rpl18				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
