Pathway,Decription,Pvalue,Genes,"k,T,m,q"
cme00240,Pyrimidine metabolism,1.0,[],-1 1449 31 26
cme00250,"Alanine, aspartate and glutamate metabolism",1.0,[],-1 1449 31 21
cme00260,"Glycine, serine and threonine metabolism",0.49213017622338084,['CYME_CMF098C'],0 1449 31 31
cme00261,Monobactam biosynthesis,1.0,[],-1 1449 31 7
cme00270,Cysteine and methionine metabolism,0.5839868588746074,['CYME_CMT313C'],0 1449 31 40
cme00280,"Valine, leucine and isoleucine degradation",0.38078184352168437,['CYME_CML080C'],0 1449 31 22
cme00290,"Valine, leucine and isoleucine biosynthesis",1.0,[],-1 1449 31 11
cme00300,Lysine biosynthesis,1.0,[],-1 1449 31 8
cme00310,Lysine degradation,1.0,[],-1 1449 31 9
cme00330,Arginine and proline metabolism,0.2937905555245691,['CYME_CML323C'],0 1449 31 16
cme00332,Carbapenem biosynthesis,1.0,[],-1 1449 31 2
cme00340,Histidine metabolism,1.0,[],-1 1449 31 11
cme00350,Tyrosine metabolism,1.0,[],-1 1449 31 15
cme00360,Phenylalanine metabolism,1.0,[],-1 1449 31 11
cme00380,Tryptophan metabolism,0.24597124071710044,['CYME_CMI050C'],0 1449 31 13
cme00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",1.0,[],-1 1449 31 23
cme00410,beta-Alanine metabolism,1.0,[],-1 1449 31 10
cme00430,Taurine and hypotaurine metabolism,1.0,[],-1 1449 31 3
cme00440,Phosphonate and phosphinate metabolism,1.0,[],-1 1449 31 2
cme00450,Selenocompound metabolism,1.0,[],-1 1449 31 12
cme00460,Cyanoamino acid metabolism,1.0,[],-1 1449 31 6
cme00472,D-Arginine and D-ornithine metabolism,1.0,[],-1 1449 31 12
cme00480,Glutathione metabolism,0.4573613611557662,['CYME_CMT216C'],0 1449 31 28
cme00500,Starch and sucrose metabolism,1.0,[],-1 1449 31 24
cme00510,N-Glycan biosynthesis,1.0,[],-1 1449 31 23
cme00511,Other glycan degradation,1.0,[],-1 1449 31 3
cme00513,Various types of N-glycan biosynthesis,1.0,[],-1 1449 31 15
cme00514,Other types of O-glycan biosynthesis,1.0,[],-1 1449 31 6
cme00515,Mannose type O-glycan biosynthesis,1.0,[],-1 1449 31 6
cme00520,Amino sugar and nucleotide sugar metabolism,1.0,[],-1 1449 31 32
cme00523,Polyketide sugar unit biosynthesis,1.0,[],-1 1449 31 9
cme00561,Glycerolipid metabolism,1.0,[],-1 1449 31 19
cme00562,Inositol phosphate metabolism,0.2937905555245691,['CYME_CMR475C'],0 1449 31 16
cme00564,Glycerophospholipid metabolism,1.0,[],-1 1449 31 29
cme00565,Ether lipid metabolism,1.0,[],-1 1449 31 7
cme00590,Arachidonic acid metabolism,1.0,[],-1 1449 31 4
cme00592,alpha-Linolenic acid metabolism,1.0,[],-1 1449 31 3
cme00600,Sphingolipid metabolism,1.0,[],-1 1449 31 10
cme00620,Pyruvate metabolism,0.6020975993570196,['CYME_CMR395C'],0 1449 31 42
cme00630,Glyoxylate and dicarboxylate metabolism,0.1479391320410925,"['CYME_CMF098C', 'CYME_CMI050C']",1 1449 31 32
cme00640,Propanoate metabolism,1.0,[],-1 1449 31 23
cme00650,Butanoate metabolism,1.0,[],-1 1449 31 10
cme00660,C5-Branched dibasic acid metabolism,1.0,[],-1 1449 31 3
cme00670,One carbon pool by folate,1.0,[],-1 1449 31 11
cme00710,Carbon fixation in photosynthetic organisms,0.4573613611557662,['CYME_CMF117C'],0 1449 31 28
cme00730,Thiamine metabolism,1.0,[],-1 1449 31 12
cme00740,Riboflavin metabolism,1.0,[],-1 1449 31 8
cme00750,Vitamin B6 metabolism,1.0,[],-1 1449 31 7
cme00760,Nicotinate and nicotinamide metabolism,1.0,[],-1 1449 31 14
cme00770,Pantothenate and CoA biosynthesis,1.0,[],-1 1449 31 12
cme00780,Biotin metabolism,1.0,[],-1 1449 31 9
cme00785,Lipoic acid metabolism,1.0,[],-1 1449 31 5
cme00790,Folate biosynthesis,1.0,[],-1 1449 31 15
cme00860,Porphyrin and chlorophyll metabolism,6.632618969578562e-07,"['CYME_CMO212C', 'CYME_CMD104C', 'CYME_CMJ154C', 'CYME_CMG217C', 'CYME_CMN338C', 'CYME_CME194C', 'CYME_CMP285C']",6 1449 31 27
cme00900,Terpenoid backbone biosynthesis,0.35300557155174783,['CYME_CMJ154C'],0 1449 31 20
cme00906,Carotenoid biosynthesis,1.0,[],-1 1449 31 5
cme00909,Sesquiterpenoid and triterpenoid biosynthesis,1.0,[],-1 1449 31 2
cme00910,Nitrogen metabolism,1.0,[],-1 1449 31 8
cme00920,Sulfur metabolism,0.278186497949396,['CYME_CMT313C'],0 1449 31 15
cme00940,Phenylpropanoid biosynthesis,1.0,[],-1 1449 31 12
cme00950,Isoquinoline alkaloid biosynthesis,1.0,[],-1 1449 31 6
cme00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",1.0,[],-1 1449 31 7
cme00966,Glucosinolate biosynthesis,1.0,[],-1 1449 31 3
cme01040,Biosynthesis of unsaturated fatty acids,1.0,[],-1 1449 31 7
cme01100,Metabolic pathways,0.10284437660783272,"['CYME_CMP166C', 'CYME_CMR395C', 'CYME_CMF117C', 'CYME_CMT216C', 'CYME_CMF098C', 'CYME_CMR475C', 'CYME_CMO212C', 'CYME_CML323C', 'CYME_CMT313C', 'CYME_CMD104C', 'CYME_CMI050C', 'CYME_CMQ142C', 'CYME_CMJ154C', 'CYME_CMG217C', 'CYME_CMN338C', 'CYME_CME194C', 'CYME_CMP285C', 'CYME_CML080C', 'CYME_CMT459C']",18 1449 31 702
cme01110,Biosynthesis of secondary metabolites,0.010959232951699717,"['CYME_CMT216C', 'CYME_CMF098C', 'CYME_CMR475C', 'CYME_CMO212C', 'CYME_CML323C', 'CYME_CMT313C', 'CYME_CMD104C', 'CYME_CMI050C', 'CYME_CMJ154C', 'CYME_CMG217C', 'CYME_CMN338C', 'CYME_CME194C', 'CYME_CMP285C', 'CYME_CML080C']",13 1449 31 363
cme01200,Carbon metabolism,0.07991896383115558,"['CYME_CMF117C', 'CYME_CMT216C', 'CYME_CMF098C', 'CYME_CMT313C', 'CYME_CMI050C']",4 1449 31 110
cme01210,2-Oxocarboxylic acid metabolism,0.4452680485717282,['CYME_CMT216C'],0 1449 31 27
cme01212,Fatty acid metabolism,0.10479405258302729,"['CYME_CML080C', 'CYME_CMT459C']",1 1449 31 26
cme01230,Biosynthesis of amino acids,0.6963531002773033,"['CYME_CMT216C', 'CYME_CMT313C']",1 1449 31 110
cme01240,Biosynthesis of cofactors,0.5258288998397346,"['CYME_CMD104C', 'CYME_CME194C', 'CYME_CMP285C']",2 1449 31 128
