	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Function [CC]	Proteomes	Organism	Status	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology IDs	Fragment	Gene encoded by	RNA editing	DNA binding	ChEBI (Cofactor)	Keywords	Interacts with	Post-translational modification	Features	Cross-reference (KEGG)
CMT045C	M1V7G3	M1V7G3_CYAM1	CYME_CMT045C				CYME_CMT045C	Probable ATP-dependent Clp protease regulatory subunit CLPX		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	chloroplast [GO:0009507]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; peptidase activity [GO:0008233]; phosphatidylinositol phospholipase C activity [GO:0004435]; unfolded protein binding [GO:0051082]; intracellular signal transduction [GO:0035556]; lipid metabolic process [GO:0006629]; protein folding [GO:0006457]	intracellular signal transduction [GO:0035556]; lipid metabolic process [GO:0006629]; protein folding [GO:0006457]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; peptidase activity [GO:0008233]; phosphatidylinositol phospholipase C activity [GO:0004435]; unfolded protein binding [GO:0051082]	chloroplast [GO:0009507]	GO:0004435; GO:0005524; GO:0006457; GO:0006629; GO:0008233; GO:0009507; GO:0016887; GO:0035556; GO:0051082						Hydrolase;Protease;Reference proteome			Compositional bias (3); Domain (1); Region (3)	cme:CYME_CMT045C;
CMT046C	M1UXA5	M1UXA5_CYAM1	CYME_CMT046C				CYME_CMT046C	Cullin 1		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ubiquitin protein ligase binding [GO:0031625]; ubiquitin-dependent protein catabolic process [GO:0006511]	ubiquitin-dependent protein catabolic process [GO:0006511]	ubiquitin protein ligase binding [GO:0031625]		GO:0006511; GO:0031625						Reference proteome			Compositional bias (2); Domain (1); Region (3)	cme:CYME_CMT046C;
CMT047C	M1VHY2	M1VHY2_CYAM1	CYME_CMT047C				CYME_CMT047C	Eukaryotic translation initiation factor eIF-2B delta subunit		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	translation initiation factor activity [GO:0003743]		translation initiation factor activity [GO:0003743]		GO:0003743						Initiation factor;Protein biosynthesis;Reference proteome			Region (1)	cme:CYME_CMT047C;
CMT048C	M1VM89	M1VM89_CYAM1	CYME_CMT048C				CYME_CMT048C	Probable de-N-glycosylation enzyme Png1p		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (1); Region (1)	cme:CYME_CMT048C;
CMT049C	M1VC88	M1VC88_CYAM1	CYME_CMT049C				CYME_CMT049C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Region (1)	cme:CYME_CMT049C;
CMT050C	M1V7G4	M1V7G4_CYAM1	CYME_CMT050C				CYME_CMT050C	EamA domain-containing protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Domain (1); Region (1); Transmembrane (3)	cme:CYME_CMT050C;
CMT052C	M1UXA8	M1UXA8_CYAM1	CYME_CMT052C				CYME_CMT052C	Similar to 26S proteasome non-ATPase regulatory subunit 9		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	proteasome complex [GO:0000502]			proteasome complex [GO:0000502]	GO:0000502						Proteasome;Reference proteome			Compositional bias (2); Region (1)	cme:CYME_CMT052C;
CMT054C	M1VHY5	M1VHY5_CYAM1	CYME_CMT054C				CYME_CMT054C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Transmembrane (9)	cme:CYME_CMT054C;
CMT055C	M1VM93	M1VM93_CYAM1	CYME_CMT055C				CYME_CMT055C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (1); Region (1)	cme:CYME_CMT055C;
CMT056C	M1VC91	M1VC91_CYAM1	CYME_CMT056C				CYME_CMT056C	Probable sodium-dependent transporter		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Transmembrane (7)	cme:CYME_CMT056C;
CMT057C	M1V7G6	M1V7G6_CYAM1	CYME_CMT057C				CYME_CMT057C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	membrane [GO:0016020]			membrane [GO:0016020]	GO:0016020						Reference proteome				cme:CYME_CMT057C;
CMT058C	M1UXB1	M1UXB1_CYAM1	CYME_CMT058C				CYME_CMT058C	Phosphoribosylglycinamide formyltransferase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	phosphoribosylglycinamide formyltransferase activity [GO:0004644]; 'de novo' IMP biosynthetic process [GO:0006189]	'de novo' IMP biosynthetic process [GO:0006189]	phosphoribosylglycinamide formyltransferase activity [GO:0004644]		GO:0004644; GO:0006189						Purine biosynthesis;Reference proteome;Transferase			Domain (1)	cme:CYME_CMT058C;
CMT059C	M1VHY8	M1VHY8_CYAM1	CYME_CMT059C				CYME_CMT059C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome				cme:CYME_CMT059C;
CMT060C	M1VM95	M1VM95_CYAM1	CYME_CMT060C				CYME_CMT060C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (1); Region (1)	cme:CYME_CMT060C;
CMT061C	M1VC94	M1VC94_CYAM1	CYME_CMT061C				CYME_CMT061C	9,9'-di-cis-zeta-carotene desaturase (EC 1.3.5.6) (Carotene 7,8-desaturase) (Zeta-carotene desaturase, chloroplastic/chromoplastic)		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	7,9,9'-tricis-neurosporene:quinone oxidoreductase activity [GO:0052887]; 9,9'-dicis-carotene:quinone oxidoreductase activity [GO:0052886]; carotene 7,8-desaturase activity [GO:0016719]; carotenoid biosynthetic process [GO:0016117]	carotenoid biosynthetic process [GO:0016117]	7,9,9'-tricis-neurosporene:quinone oxidoreductase activity [GO:0052887]; 9,9'-dicis-carotene:quinone oxidoreductase activity [GO:0052886]; carotene 7,8-desaturase activity [GO:0016719]		GO:0016117; GO:0016719; GO:0052886; GO:0052887						Oxidoreductase;Reference proteome			Domain (1)	cme:CYME_CMT061C;
CMT063C	M1V7G8	M1V7G8_CYAM1	CYME_CMT063C				CYME_CMT063C	Chloroplast membrane protein ALBINO3 or ARTEMIS		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; membrane insertase activity [GO:0032977]		membrane insertase activity [GO:0032977]	integral component of membrane [GO:0016021]	GO:0016021; GO:0032977						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Region (1); Transmembrane (1)	cme:CYME_CMT063C;
CMT066C	M1UXB5	M1UXB5_CYAM1	CYME_CMT066C				CYME_CMT066C	Probable ATP-dependent transporter ycf16		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	chloroplast [GO:0009507]; integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]		ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	chloroplast [GO:0009507]; integral component of membrane [GO:0016021]	GO:0005524; GO:0009507; GO:0016021; GO:0042626						ATP-binding;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix			Compositional bias (1); Domain (2); Nucleotide binding (1); Region (1); Transmembrane (3)	cme:CYME_CMT066C;
CMT067C	M1VHZ1	M1VHZ1_CYAM1	CYME_CMT067C				CYME_CMT067C	Transcription factor E2F		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of transcription by RNA polymerase II [GO:0006357]	regulation of transcription by RNA polymerase II [GO:0006357]	protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	nucleus [GO:0005634]; transcription regulator complex [GO:0005667]	GO:0000978; GO:0005634; GO:0005667; GO:0006357; GO:0046983						DNA-binding;Nucleus;Reference proteome;Transcription;Transcription regulation			Compositional bias (1); Domain (1); Region (3)	cme:CYME_CMT067C;
CMT068C	M1VM98	M1VM98_CYAM1	CYME_CMT068C				CYME_CMT068C	E2F_TDP domain-containing protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]	regulation of transcription, DNA-templated [GO:0006355]	DNA binding [GO:0003677]	nucleus [GO:0005634]; transcription regulator complex [GO:0005667]	GO:0003677; GO:0005634; GO:0005667; GO:0006355						Coiled coil;DNA-binding;Nucleus;Reference proteome;Transcription;Transcription regulation			Coiled coil (1); Domain (1); Region (3)	cme:CYME_CMT068C;
CMT069C	M1VC97	M1VC97_CYAM1	CYME_CMT069C				CYME_CMT069C	SAP domain-containing protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Coiled coil;Reference proteome			Coiled coil (1); Compositional bias (9); Domain (1); Region (1)	cme:CYME_CMT069C;
CMT071C	M1V7H0	M1V7H0_CYAM1	CYME_CMT071C				CYME_CMT071C	Methylcrotonyl-CoA carboxylase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ligase activity [GO:0016874]		ligase activity [GO:0016874]		GO:0016874						Reference proteome;Signal			Chain (1); Domain (2); Signal peptide (1)	cme:CYME_CMT071C;
CMT072C	M1UXB8	M1UXB8_CYAM1	CYME_CMT072C				CYME_CMT072C	Isovaleryl-CoA dehydrogenase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]		acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]		GO:0003995; GO:0050660					FAD [CHEBI:57692]	FAD;Flavoprotein;Oxidoreductase;Reference proteome			Compositional bias (1); Domain (3); Region (1)	cme:CYME_CMT072C;
CMT073C	M1VHZ3	M1VHZ3_CYAM1	CYME_CMT073C				CYME_CMT073C	Methylcrotonoyl-Coenzyme A carboxylase 1		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ATP binding [GO:0005524]; ligase activity [GO:0016874]; metal ion binding [GO:0046872]		ATP binding [GO:0005524]; ligase activity [GO:0016874]; metal ion binding [GO:0046872]		GO:0005524; GO:0016874; GO:0046872					biotin [CHEBI:57586]	ATP-binding;Biotin;Ligase;Nucleotide-binding;Reference proteome			Compositional bias (1); Domain (3); Region (2)	cme:CYME_CMT073C;
CMT074C	M1VMA1	M1VMA1_CYAM1	CYME_CMT074C				CYME_CMT074C	AU-specific RNA-binding enoyl-CoA hydratase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	catalytic activity [GO:0003824]		catalytic activity [GO:0003824]		GO:0003824						Reference proteome				cme:CYME_CMT074C;
CMT075C	M1VCA0	M1VCA0_CYAM1	CYME_CMT075C				CYME_CMT075C	DegP protease		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	serine-type endopeptidase activity [GO:0004252]		serine-type endopeptidase activity [GO:0004252]		GO:0004252						Hydrolase;Protease;Reference proteome			Domain (1)	cme:CYME_CMT075C;
CMT076C	M1V7H1	M1V7H1_CYAM1	CYME_CMT076C				CYME_CMT076C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Transmembrane (2)	cme:CYME_CMT076C;
CMT077C	M1UXC1	M1UXC1_CYAM1	CYME_CMT077C				CYME_CMT077C	Similar to auxin-regulated protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Coiled coil;Reference proteome			Coiled coil (1); Compositional bias (2); Domain (1); Region (1)	cme:CYME_CMT077C;
CMT078C	M1VHZ6	M1VHZ6_CYAM1	CYME_CMT078C				CYME_CMT078C	Probable glutamate carboxypeptidase II		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; carboxypeptidase activity [GO:0004180]; metalloexopeptidase activity [GO:0008235]		carboxypeptidase activity [GO:0004180]; metalloexopeptidase activity [GO:0008235]	integral component of membrane [GO:0016021]	GO:0004180; GO:0008235; GO:0016021						Carboxypeptidase;Hydrolase;Membrane;Protease;Reference proteome;Transmembrane;Transmembrane helix			Domain (3); Region (1); Transmembrane (1)	cme:CYME_CMT078C;
CMT079C	M1VMA4	M1VMA4_CYAM1	CYME_CMT079C				CYME_CMT079C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (4); Region (4)	cme:CYME_CMT079C;
CMT080C	M1VCA3	M1VCA3_CYAM1	CYME_CMT080C				CYME_CMT080C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (1); Region (2)	cme:CYME_CMT080C;
CMT081C	M1V7H3	M1V7H3_CYAM1	CYME_CMT081C				CYME_CMT081C	Plastid-lipid-associated protein PAP		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (1); Region (1)	cme:CYME_CMT081C;
CMT083C	M1UXC5	M1UXC5_CYAM1	CYME_CMT083C				CYME_CMT083C	Probable uridylate kinase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ATP binding [GO:0005524]; cytidylate kinase activity [GO:0004127]; uridylate kinase activity [GO:0009041]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; pyrimidine nucleotide biosynthetic process [GO:0006221]	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; pyrimidine nucleotide biosynthetic process [GO:0006221]	ATP binding [GO:0005524]; cytidylate kinase activity [GO:0004127]; uridylate kinase activity [GO:0009041]		GO:0004127; GO:0005524; GO:0006207; GO:0006221; GO:0009041						Kinase;Reference proteome;Transferase				cme:CYME_CMT083C;
CMT084C	M1VHZ8	M1VHZ8_CYAM1	CYME_CMT084C				CYME_CMT084C	LysM domain-containing protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Compositional bias (1); Domain (1); Region (1); Transmembrane (4)	cme:CYME_CMT084C;
CMT085C	M1VMA7	M1VMA7_CYAM1	CYME_CMT085C				CYME_CMT085C	UDP-N-acetylglucosamine pyrophosphorylase fused with phosphoacetylglucosamine mutase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	intramolecular transferase activity, phosphotransferases [GO:0016868]; magnesium ion binding [GO:0000287]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	intramolecular transferase activity, phosphotransferases [GO:0016868]; magnesium ion binding [GO:0000287]		GO:0000287; GO:0005975; GO:0016868					Mg(2+) [CHEBI:18420]	Magnesium;Metal-binding;Reference proteome			Domain (2); Region (2)	cme:CYME_CMT085C;
CMT086C	M1VCA6	M1VCA6_CYAM1	CYME_CMT086C				CYME_CMT086C	Probable isopentenyl diphosphate isomerase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	hydrolase activity [GO:0016787]; isomerase activity [GO:0016853]		hydrolase activity [GO:0016787]; isomerase activity [GO:0016853]		GO:0016787; GO:0016853						Isomerase;Reference proteome			Domain (1)	cme:CYME_CMT086C;
